label,exact_jaccard,minhash_estimate,absolute_error
same,0.865900,0.876694,0.010793
same,0.755337,0.803523,0.048186
different,0.216814,0.243902,0.027088
different,0.270341,0.337398,0.067057
different,0.294274,0.284553,0.009721
different,0.259074,0.269648,0.010574
different,0.387960,0.406504,0.018544
different,0.306277,0.330623,0.024346
different,0.250667,0.276423,0.025756
different,0.292096,0.275068,0.017028
different,0.298789,0.308943,0.010154
same,0.898470,0.922764,0.024294
different,0.326087,0.329268,0.003181
different,0.395692,0.433604,0.037913
different,0.302511,0.295393,0.007118
different,0.276350,0.277778,0.001428
different,0.281888,0.296748,0.014860
different,0.315104,0.337398,0.022294
different,0.234354,0.249322,0.014968
different,0.269275,0.268293,0.000982
different,0.258772,0.266938,0.008166
different,0.317726,0.319783,0.002057
same,0.903846,0.920054,0.016208
different,0.260631,0.288618,0.027987
same,0.927451,0.929539,0.002088
same,1.000000,1.000000,0.000000
different,0.337436,0.337398,0.000038
different,0.261947,0.230352,0.031595
different,0.276435,0.299458,0.023023
different,0.279539,0.273713,0.005826
different,0.362947,0.407859,0.044912
different,0.356994,0.333333,0.023660
different,0.297297,0.355014,0.057716
different,0.291123,0.299458,0.008335
different,0.270953,0.277778,0.006825
different,0.314746,0.345528,0.030782
different,0.319236,0.376694,0.057458
different,0.275485,0.277778,0.002292
different,0.271523,0.246612,0.024911
same,0.862559,0.875339,0.012780
different,0.350333,0.337398,0.012934
same,0.519393,0.517615,0.001778
same,0.850549,0.842818,0.007731
same,0.921676,0.933604,0.011929
different,0.205621,0.196477,0.009144
different,0.273349,0.284553,0.011204
different,0.220994,0.220867,0.000127
same,0.883994,0.882114,0.001880
different,0.297568,0.322493,0.024925
different,0.294686,0.323848,0.029162
different,0.266294,0.253388,0.012907
different,0.327511,0.401084,0.073573
same,0.375559,0.424119,0.048560
same,0.427683,0.428184,0.000502
different,0.363823,0.388889,0.025066
same,0.948407,0.956640,0.008233
different,0.214080,0.235772,0.021692
different,0.270166,0.246612,0.023554
different,0.209125,0.228997,0.019872
different,0.248843,0.252033,0.003190
different,0.177474,0.222222,0.044748
different,0.299886,0.275068,0.024818
same,0.937608,0.943089,0.005481
same,0.858086,0.915989,0.057903
different,0.214789,0.233062,0.018274
different,0.263434,0.279133,0.015699
different,0.268116,0.256098,0.012018
same,0.978155,0.986450,0.008295
different,0.241501,0.252033,0.010532
different,0.327195,0.368564,0.041368
different,0.344473,0.344173,0.000300
same,0.963265,0.960705,0.002561
different,0.269377,0.272358,0.002980
different,0.246606,0.266938,0.020331
different,0.321534,0.318428,0.003106
different,0.205497,0.211382,0.005885
same,0.929825,0.939024,0.009200
different,0.319588,0.342818,0.023231
same,0.333333,0.403794,0.070461
different,0.351230,0.341463,0.009767
same,0.865731,0.886179,0.020447
same,0.935433,0.949864,0.014431
different,0.275140,0.285908,0.010768
different,0.286915,0.319783,0.032868
same,0.788301,0.800813,0.012512
different,0.294479,0.318428,0.023950
same,1.000000,1.000000,0.000000
different,0.302583,0.359079,0.056496
different,0.298813,0.298103,0.000710
different,0.268507,0.266938,0.001569
different,0.337968,0.334688,0.003280
same,0.917667,0.917344,0.000323
same,0.932914,0.941734,0.008820
different,0.271338,0.284553,0.013215
different,0.276455,0.279133,0.002678
different,0.278261,0.258808,0.019453
different,0.314592,0.344173,0.029582
different,0.288158,0.313008,0.024850
different,0.246479,0.266938,0.020459
different,0.272352,0.276423,0.004071
same,0.945055,0.967480,0.022425
different,0.343991,0.337398,0.006593
different,0.285714,0.264228,0.021487
different,0.339891,0.363144,0.023253
same,0.519006,0.525745,0.006739
different,0.345297,0.336043,0.009254
different,0.246011,0.246612,0.000602
same,0.658397,0.639566,0.018831
different,0.284198,0.277778,0.006420
different,0.285908,0.304878,0.018970
same,0.589286,0.570461,0.018825
different,0.219645,0.218157,0.001488
same,0.925455,0.936314,0.010860
different,0.310502,0.300813,0.009689
same,0.859100,0.878049,0.018949
different,0.222222,0.260163,0.037940
different,0.231379,0.239837,0.008459
different,0.303639,0.341463,0.037825
different,0.309878,0.308943,0.000935
different,0.332484,0.371274,0.038790
different,0.365657,0.380759,0.015102
different,0.298765,0.348238,0.049473
same,0.855422,0.864499,0.009077
different,0.294457,0.336043,0.041586
different,0.323210,0.340108,0.016898
different,0.347509,0.367209,0.019700
same,0.908309,0.905149,0.003160
same,0.947368,0.960705,0.013336
different,0.307600,0.369919,0.062319
same,0.290276,0.284553,0.005723
different,0.170608,0.174797,0.004189
different,0.362486,0.367209,0.004723
different,0.287432,0.298103,0.010671
different,0.271137,0.277778,0.006641
same,0.897472,0.897019,0.000453
different,0.312925,0.291328,0.021597
different,0.206494,0.220867,0.014374
different,0.301166,0.314363,0.013197
same,0.459380,0.425474,0.033905
different,0.355263,0.414634,0.059371
different,0.303345,0.285908,0.017437
